id,label
000101,C
000102,B
000103,C
000201,D
000202,C
000301,B
000302,C
000401,D
000402,A
000501,A
000502,B
000601,B
000602,B
000701,A
000702,D
000801,A
000802,D
000901,D
000902,B
001001,D
001101,A
001102,A
001201,D
001202,B
001301,B
001302,A
001401,D
001402,C
001501,D
001601,B
001602,B
001701,D
001702,C
001801,B
001802,C
001803,C
001901,D
002001,D
002002,C
002003,D
002101,B
002201,C
002202,D
002301,C
002302,A
002401,C
002501,B
002601,C
002602,B
002701,B
002702,B
002703,C
002801,A
002802,C
002901,D
003001,C
003002,A
003101,D
003102,A
003103,B
003201,B
003301,B
003302,C
003303,C
003401,C
003402,A
003501,D
003502,A
003503,C
003601,D
003602,C
003701,C
003801,D
003901,B
003902,C
004001,B
004002,A
004101,C
004102,B
004201,B
004301,D
004401,C
004402,B
004501,A
004502,B
004601,B
004602,D
004701,B
004801,B
004802,C
004901,D
005001,C
005002,D
005101,C
005201,A
005202,D
005301,B
005302,D
005401,B
005501,A
005502,C
005601,C
005701,B
005702,B
005801,B
005901,C
006001,A
006101,D
006102,A
006201,D
006301,B
006401,A
006402,B
006501,A
006601,D
006701,C
006801,B
006802,C
006901,D
007001,B
007101,B
007102,C
007201,D
007301,D
007302,C
007401,B
007501,D
007601,D
007602,A
007701,B
007702,B
007801,C
007802,B
007803,A
007901,A
008001,B
008101,B
008102,A
008201,B
008202,B
008301,C
008401,B
008501,C
008601,B
008602,D
008603,C
008701,B
008801,C
008901,C
008902,C
009001,C
009101,B
009201,A
009301,B
009401,C
009402,C
009501,C
009502,C
009601,A
009602,B
009701,A
009702,B
009801,C
009901,B
009902,C
010001,B
010002,D
010003,D
010101,C
010102,B
010201,C
010202,C
010301,B
010302,D
010303,D
010304,A
010401,A
010402,B
010403,C
010501,B
010502,D
010601,C
010701,A
010801,A
010802,C
010901,B
010902,B
010903,C
011001,D
011101,B
011102,B
011103,D
011201,B
011301,D
011302,B
011401,A
011402,D
011501,C
011502,C
011503,C
011601,D
011701,D
011801,C
011802,B
011901,D
012001,D
012002,A
012101,B
012201,B
012202,A
012203,B
012301,A
012302,A
012303,D
012304,B
012401,C
012402,D
012501,B
012502,C
012503,D
012601,B
012602,D
012701,D
012702,B
012703,A
012801,D
012802,B
012901,B
012902,C
013001,A
013002,C
013003,D
013101,B
013102,B
013103,D
013201,C
013202,C
013301,C
013302,D
013401,D
013402,C
013501,A
013502,C
013503,B
013601,D
013701,B
013801,A
013802,D
013803,B
013901,C
014001,C
014101,A
